id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6983,Copenhagen 'N Livin',16774,Simon,,Nrrebro,55.68641,12.54741,Entire home/apt,717,2,168,2019-07-19,1.10,1,22,0,
26057,Lovely house - most attractive area,109777,Kari,,Indre By,55.69307107001913,12.576494184665037,Entire home/apt,2400,4,56,2022-02-28,0.55,1,264,6,
31094,"Very central and cozy, new kitchen",129976,Ebbe,,Vesterbro-Kongens Enghave,55.66539,12.55639,Entire home/apt,750,2,17,2017-08-25,0.12,1,0,0,
32379,"165 m2  artist flat on Vesterbro, with 2 bathrooms",140105,Lise,,Vesterbro-Kongens Enghave,55.672638,12.552493,Entire home/apt,1153,3,76,2021-10-18,0.54,2,0,3,
32841,Cozy flat for Adults/Quiet for kids,142143,Anders & Maria,,sterbro,55.71176,12.57091,Entire home/apt,617,100,7,2016-09-15,0.05,1,267,0,
33680,Best location on Vesterbro/Cph,145671,Mette,,Vesterbro-Kongens Enghave,55.66631,12.54555,Entire home/apt,1000,6,71,2019-03-14,0.50,1,179,0,
37159,Unique space on greatest location,160390,Jeanette,,Indre By,55.68547,12.56543,Entire home/apt,2576,5,11,2017-08-22,0.08,1,0,0,
39055,Stylish Flat in Central Copenhagen,167511,Rikke,,Amager Vest,55.66507,12.58315,Entire home/apt,1500,2,77,2015-09-29,0.54,1,185,0,
55465,Cosy and Central  - Apartment,261977,Morten,,Frederiksberg,55.68127,12.55389,Entire home/apt,535,35,76,2021-09-30,0.55,1,26,1,
60048,"Modern, Cosy & Central - Vesterbro!",288615,Oliver,,Vesterbro-Kongens Enghave,55.6672,12.54668,Entire home/apt,915,3,67,2019-08-20,0.49,1,364,0,
69440,Clean room in peacefull part of Cph,194944,Anne,,Frederiksberg,55.68493,12.53434,Private room,414,5,50,2022-03-23,0.37,1,25,3,
78381,IN THE HEART OF CPH,420914,Cathrine,,Indre By,55.68384,12.56687,Entire home/apt,1257,4,117,2022-01-02,0.89,1,299,15,
103293,1700 sqft designers apartment with park view,538877,Claus,,Indre By,55.69565,12.58177,Entire home/apt,1376,5,10,2017-07-30,0.08,1,57,0,
112292,Copenhagen Exclusive,573172,Christoffer,,Frederiksberg,55.68068,12.54581,Entire home/apt,1488,6,31,2022-01-03,0.24,1,11,1,
113508,Penthouse by the lakes - Copenhagen,577366,Ronnie,,Frederiksberg,55.67757,12.55608,Entire home/apt,1750,3,13,2022-02-28,0.10,1,129,3,
118649,Charming Center of Copenhagen,599145,Iben Ammentorp,,Indre By,55.68313,12.56225,Entire home/apt,1406,3,45,2021-10-24,0.34,1,2,4,
119322,"Urban, cultural & child-friendly",602647,Michael,,Nrrebro,55.68828,12.56401,Entire home/apt,1339,3,14,2019-11-25,0.11,1,210,0,
130253,Lovely big room in Copenhagen Ø,641583,Mathilde,,sterbro,55.70673,12.58533,Private room,1683,1,22,2014-09-30,0.17,2,188,0,
135777,Boheme,665428,Sofie,,Nrrebro,55.69223,12.54212,Entire home/apt,744,5,6,2016-02-15,0.05,1,0,0,
142599,Lovely room in central Copenhagen,692479,Gunhild B.,,Vesterbro-Kongens Enghave,55.66593,12.54435,Private room,500,2,95,2019-08-11,0.72,1,89,0,
143230,Family home by Christianshavn Canal,695079,Ilang & Marika,,Indre By,55.67367,12.59132,Entire home/apt,1807,2,90,2022-03-13,0.75,1,61,8,
157093,Rooftop app. in cozy nørrebro area,754626,Sigrid,,Nrrebro,55.68963,12.54277,Entire home/apt,861,3,36,2020-01-01,0.38,1,0,0,
158241,Cozy apartment i Copenhagen,759451,Martin Grønberg,,Vesterbro-Kongens Enghave,55.66394,12.54798,Entire home/apt,1029,3,46,2020-08-30,0.67,1,28,0,
171546,Great apartment in Copenhagen,818458,Ditte,,Vesterbro-Kongens Enghave,55.67013,12.54954,Entire home/apt,755,5,63,2021-12-22,0.65,1,0,8,
173032,Familierum i Newyorker lejlighed,826011,Kirsten,,Vesterbro-Kongens Enghave,55.66305,12.54577,Private room,350,7,1,2015-07-20,0.01,3,294,0,
176963,Cosy private room close to center -next to Metro,846204,Vogelkop,,Vesterbro-Kongens Enghave,55.66777,12.54844,Private room,300,1,416,2022-03-27,3.22,5,238,37,
177321,Updated Urban Boho-Chic Apartment,150042,Natashja,,Nrrebro,55.70001,12.54819,Entire home/apt,1295,5,71,2019-09-12,0.55,2,27,0,
186454,Artistic & colourful  apartment.,896083,Cathrine,,Vesterbro-Kongens Enghave,55.67069,12.54836,Private room,400,1,188,2021-09-06,1.46,1,262,1,
194022,Penthouse in central CPH,941790,Morten,,Nrrebro,55.68998,12.56223,Entire home/apt,1976,3,147,2022-03-19,1.14,1,296,18,
198448,Penthouse overlooking the harbor,968571,Stefan,,Indre By,55.68372,12.59324,Entire home/apt,1464,5,103,2022-03-17,0.82,1,287,14,
206861,Lovely spacious apartment with balcony,999404,Sidsel,,Nrrebro,55.69403,12.56543,Entire home/apt,814,3,55,2021-09-28,0.43,1,0,4,
218854,Cool rooftop apartment by the lakes,168254,Kristina,,Nrrebro,55.68758,12.56053,Entire home/apt,848,3,21,2021-10-11,0.16,1,293,1,
240802,Copenhagen big top floor apartment,1263184,Mette,,Nrrebro,55.68868,12.56086,Entire home/apt,1413,2,7,2021-10-29,0.06,1,27,2,
242494,Frederiksberg - Garden & Fireplace!,1162404,Julie,,Frederiksberg,55.67337,12.54143,Entire home/apt,856,5,14,2018-08-22,0.11,2,8,0,
250201,Lovely apartment in Copenhagen,1310948,Tilde,,Vesterbro-Kongens Enghave,55.66792,12.55554,Entire home/apt,671,3,17,2013-06-30,0.13,1,0,0,
258430,Private Room in Copenhagen SV,268171,Rouslan,,Vesterbro-Kongens Enghave,55.64443,12.52773,Private room,233,1,326,2022-03-16,4.73,3,5,34,
262961,192m2 FLAT+ 8m2 BALCONY IN CENTER NØRREBRO HOOD,1379904,Nina,,Nrrebro,55.68867,12.56095,Entire home/apt,1480,5,31,2021-08-07,0.25,2,37,2,
263036,Bright flat in central location,1232471,Anita,,Nrrebro,55.69008,12.54378,Entire home/apt,881,4,20,2021-11-21,0.16,1,30,2,
264220,MY HOME  IN  FANTASTIC COPENHAGEN,1386103,Angelina,,Amager st,55.66135,12.60531,Shared room,2291,2,4,2015-05-29,0.04,6,365,0,
268089,City Room,1405285,Nikolaj Egelund,,Indre By,55.68187,12.56375,Private room,500,2,2,2020-01-21,0.06,1,147,0,
269188,Two floors rooftop apartment in the heart of CPH,1410104,Kenneth,,Vesterbro-Kongens Enghave,55.6675,12.55563,Entire home/apt,1564,1,29,2021-12-17,0.35,1,0,12,
279685,Newyorker apartment in central CPH?,1458132,Pernille,,Vesterbro-Kongens Enghave,55.6706,12.54211,Entire home/apt,678,90,17,2021-11-07,0.15,1,239,4,
290446,"Downtown cosy, spacious apartment. Great location",1504925,Kurt,,Vesterbro-Kongens Enghave,55.67282,12.55757,Entire home/apt,1500,3,25,2019-10-03,0.21,1,364,0,
300482,Cozy apartment near the center,1517376,Lene,,Amager Vest,55.66624,12.59636,Entire home/apt,750,4,3,2019-07-31,0.05,2,16,0,
304278,Bright penthouse - great with kids!,1565799,Mikkel,,Nrrebro,55.69243,12.54606,Entire home/apt,850,5,40,2021-07-31,0.33,1,19,3,
312803,Visit wonderful Copenhagen as a lokal,1608326,Karin Munkholm,,Vesterbro-Kongens Enghave,55.67087,12.54283,Entire home/apt,1322,2,53,2019-10-21,0.45,2,24,0,
313003,130m2 scandinavian designed apt. prime location,1606895,Alexandra,,Indre By,55.68409,12.56349,Entire home/apt,4000,2,23,2018-08-23,0.19,1,365,0,
313237,Nice big apartment in Copenhagen,422780,Sanne,,Valby,55.66641,12.50395,Entire home/apt,850,6,62,2020-09-02,0.52,2,218,0,
