id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61094,-122.29286,Entire home/apt,188,7,38,2022-01-07,0.23,1,295,6,STR-OPLI-19-002837
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,157,2021-09-14,1.02,2,0,8,str-opli-19-002622
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,75,2,155,2022-03-20,1.09,9,363,7,STR-OPLI-19-003039
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,175,5,60,2022-02-18,0.48,2,221,19,STR-OPLI-19-002182
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,125,3,60,2022-03-16,0.48,2,217,4,STR-OPLI-19-002182
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,130,30,97,2020-09-28,0.74,2,20,0,STR -OPLI-19-002622
9909,Luna Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,150,3,78,2021-12-11,0.52,8,352,2,STR-OPLI-19-000033
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,86,2,900,2022-03-18,6.20,1,45,61,STR-OPLI-19-002617
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.67843,-122.38207,Entire home/apt,67,30,97,2020-03-17,0.68,2,81,0,STR-OPLI-19-002891
68508,"Private Entry 180º Views City, Mountains & Lake",340192,Angela,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,165,7,1,2021-11-01,0.21,3,0,1,STR-OPLI-19-002747
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,75,90,47,2021-10-03,0.36,1,0,3,
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,85,3,462,2022-03-13,3.52,2,313,50,STR-OPLI-19-000772
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66938,-122.33516,Entire home/apt,75,30,126,2020-08-03,0.96,1,81,0,STR-OPLI-19-001229
132160,Green Lake Guest Suite with Infrared Sauna,558743,Natalie,Other neighborhoods,Green Lake,47.68205,-122.34275,Entire home/apt,139,3,332,2022-03-07,2.56,1,145,37,STR-OPLI-19-000659
151545,Beautiful Water View Condo near UW + Eastlake!,306615,Tara,Capitol Hill,Portage Bay,47.65062,-122.32008,Entire home/apt,299,30,46,2021-12-06,0.35,3,70,4,STR-OPLI-19-002004
170273,Stunning Three Bedroom Historic Home at Seattle Center,804996,Nadine,Queen Anne,Lower Queen Anne,47.62734,-122.35793,Entire home/apt,349,3,260,2020-03-14,2.00,1,273,0,STR-OPLI-21-001274
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,200,30,28,2021-08-01,0.30,1,105,2,
210316,"""The 5-Star House""  #9 The red room",2438665,Flor,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,60,30,75,2020-11-01,0.79,4,50,0,STR-OPLI-19-002472
219532,"Fun home in Funky Fremont, Seattle",1037115,Rose And Glen,Other neighborhoods,Fremont,47.65589,-122.36055,Entire home/apt,295,30,90,2021-08-07,0.75,1,106,1,STR-OPLI-21-000155
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,54,1,263,2022-03-20,2.09,2,235,45,STR-OPLI-19-000684
226677,Sunny Parisian room w/ best cooling memoryfoam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,45,2,196,2022-03-20,1.55,9,319,30,STR-OPLI-19-003039
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,208,2,111,2022-03-14,1.10,3,203,8,STR-OPLI-21-000431
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,98,2,300,2021-11-27,2.37,3,142,1,STR-OPLI-21-000431
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,85,30,161,2019-10-31,1.29,1,78,0,
260613,Charming Hideaway in North Ballard,1387754,Dot & Lucy,Ballard,Whittier Heights,47.687,-122.36697,Entire home/apt,150,1,98,2021-11-01,0.80,1,203,21,STR-OPLI-19-003396
278830,Shining Starlight house in Seattle,1452570,Emily,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,400,2,79,2021-11-24,0.67,4,160,4,STR-OPLI-19-002230
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,146,3,266,2022-03-15,2.17,1,238,45,STR-OPLI-19-002053
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,150,30,12,2021-02-12,0.10,1,173,0,
353110,West Seattle Backyard Vacation Cottage,1788284,Eric,West Seattle,North Admiral,47.58037,-122.39163,Entire home/apt,109,30,81,2022-03-02,0.67,1,123,6,
356248,Seattle 2 BR w Lovely Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.65047,-122.32022,Entire home/apt,224,60,26,2021-08-31,0.39,3,19,1,
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,224,3,161,2022-02-27,1.35,4,132,22,STR-OPLI-19-001273
365550,art loft downtown~ID~Stadiums,1025723,Dirk & Jaq,Downtown,International District,47.60002,-122.32742,Private room,91,3,766,2022-03-16,6.29,1,133,23,STR-OPLI-19-000427
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68528,-122.33125,Entire home/apt,450,4,43,2021-09-06,0.42,1,300,4,STR-OPLI-19-001130
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Phinney Ridge,47.68271,-122.35768,Private room,88,3,256,2022-03-19,2.11,2,101,30,STR-OPLI-19-001288
387078,Modern Capitol Hill. LOCATION Great Monthly Rates,1121532,Melissa,Capitol Hill,Broadway,47.62361,-122.32577,Entire home/apt,119,30,182,2022-03-13,1.62,9,315,14,STR-OPLI-19-001903
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58576,-122.31581,Private room,80,3,288,2022-03-14,2.39,2,350,25,STR-OPLI-19-001128
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57389,-122.31428,Entire home/apt,104,3,159,2022-03-05,1.33,1,128,9,STR-OPLI-21-000037
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.70021,-122.35106,Private room,95,1,391,2022-03-18,3.31,1,164,59,STR-OPLI-21-000424
